carat,clarity,color,cut,price
0.55,VVS1,G,Very Good,1411
0.5,SI2,D,Very Good,861
0.57,VS2,F,Ideal,1570
0.33,VS1,D,Ideal,672
0.5,SI2,H,Very Good,974
5.22,FL,D,Very Good,355403
0.35,SI1,D,Ideal,614
1,VS2,G,Ideal,6978
2.42,VVS2,F,Very Good,22553
0.31,SI1,I,Ideal,427
0.23,VVS1,D,Ideal,615
0.3,VS1,E,Ideal,596
2.01,VS2,E,Very Good,22634
0.5,VS2,G,Good,1212
1.02,VS2,F,Very Good,4318
0.5,VVS1,J,Very Good,1216
1.11,SI2,D,Very Good,4224
0.31,VS2,E,Ideal,571
0.3,SI2,D,Ideal,399
0.7,VS1,F,Very Good,2462
0.4,VVS1,J,Ideal,684
0.5,IF,G,Very Good,1095
0.24,VS1,D,Ideal,541
1.64,IF,D,Ideal,32604
0.35,VS2,D,Ideal,711
0.52,VS1,I,Ideal,1406
0.4,VVS1,D,Very Good,908
1.03,SI1,F,Ideal,6358
0.81,VS1,E,Very Good,3476
0.3,VVS1,I,Ideal,524
0.5,SI1,D,Ideal,1423
0.3,VVS2,I,Very Good,490
0.3,SI2,F,Very Good,404
1.3,VVS1,E,Ideal,11366
1,VVS1,I,Ideal,5455
0.75,VS2,G,Very Good,2475
0.4,VS2,E,Very Good,846
0.3,VS1,I,Ideal,539
0.53,VVS1,E,Ideal,2151
0.3,SI1,I,Ideal,415
0.4,SI1,G,Ideal,686
0.5,VS2,E,Ideal,1602
0.6,SI1,F,Ideal,1656
0.78,VS2,D,Astor Ideal,3114
1.2,SI1,H,Ideal,6385
0.46,VS1,J,Very Good,767
1.01,VS1,G,Very Good,4150
0.51,VS1,I,Very Good,1243
0.72,SI1,F,Good,1702
2.2,VVS1,D,Very Good,29101
1.23,VS2,F,Ideal,11710
0.33,SI2,H,Ideal,454
0.42,SI2,I,Ideal,623
0.54,SI2,I,Ideal,1061
1.17,VS1,G,Ideal,9094
1.21,VVS2,D,Good,5284
1.25,VVS1,I,Ideal,6968
0.5,SI1,E,Ideal,1360
0.58,VVS2,I,Ideal,1580
0.5,VS1,I,Good,1107
0.56,VS1,H,Ideal,1520
0.34,SI1,F,Ideal,585
0.31,VS2,E,Ideal,506
0.7,SI2,F,Very Good,1755
0.5,VS1,G,Ideal,1499
0.52,SI1,D,Very Good,1357
0.53,VVS1,H,Ideal,1520
1,SI1,I,Very Good,4113
0.4,VVS1,J,Ideal,771
0.8,SI1,J,Very Good,1653
0.51,VVS2,I,Ideal,1315
0.6,VS1,D,Ideal,2212
0.5,SI2,I,Very Good,894
0.5,VS2,E,Very Good,1069
0.53,SI1,F,Ideal,1633
0.5,VVS1,F,Very Good,1425
0.3,SI2,F,Ideal,400
0.46,VVS2,G,Ideal,1290
0.71,VVS2,G,Very Good,2580
0.5,VS2,F,Ideal,1393
0.72,VVS2,E,Very Good,2654
0.72,SI2,G,Very Good,1819
0.5,VS1,H,Good,1560
0.4,VS1,H,Ideal,782
0.5,SI1,I,Ideal,1194
1.09,VS2,I,Ideal,6204
1.02,VS1,F,Ideal,7343
0.47,IF,J,Ideal,1012
0.5,VS2,F,Very Good,1348
0.31,VVS1,H,Ideal,676
0.82,VS2,E,Very Good,2998
0.5,VVS2,I,Good,1098
0.54,VS2,H,Ideal,1493
0.5,SI1,I,Very Good,1189
0.43,SI2,F,Very Good,639
0.94,VVS2,J,Very Good,2818
0.3,SI2,F,Very Good,412
0.9,IF,G,Very Good,3654
0.3,SI1,G,Ideal,448
0.5,VVS2,D,Ideal,1566
0.95,SI1,F,Good,4382
3.35,IF,F,Good,56151
0.3,VVS1,I,Ideal,532
0.26,IF,D,Ideal,744
0.3,VS1,I,Very Good,419
2.28,SI1,G,Ideal,21257
0.3,SI2,G,Ideal,408
1.99,VS1,D,Very Good,21379
0.61,VS2,H,Ideal,2174
0.4,VS2,J,Very Good,597
0.7,SI1,F,Very Good,2178
0.61,VVS1,D,Ideal,3767
0.41,VS2,F,Ideal,844
0.7,SI2,E,Good,1737
0.4,VS1,H,Very Good,702
0.36,VVS1,G,Ideal,661
0.81,VS1,E,Very Good,3535
0.26,VS1,D,Ideal,692
0.3,VVS1,I,Ideal,596
1,VVS2,F,Ideal,7909
0.3,VVS2,G,Very Good,412
0.51,SI1,F,Very Good,1029
2.3,VS1,I,Ideal,21954
0.23,VS1,I,Astor Ideal,520
0.54,VS2,F,Very Good,1324
1.01,VS1,F,Very Good,5749
1.02,SI1,E,Ideal,5833
0.5,SI2,F,Ideal,1228
0.34,VVS2,G,Ideal,654
0.3,VVS1,F,Ideal,613
0.5,VS2,F,Ideal,1485
0.55,VS1,I,Good,980
1.3,VS2,G,Ideal,9430
0.29,VS2,E,Very Good,546
2.06,VS2,F,Very Good,20459
1,SI1,G,Good,4412
0.9,VVS2,D,Ideal,6505
1.06,SI2,H,Ideal,4718
0.3,VVS2,E,Ideal,794
1.18,VS2,G,Astor Ideal,6299
5.01,VS1,F,Ideal,193166
0.5,VS1,D,Good,1781
0.6,SI1,I,Ideal,1481
1,SI2,H,Ideal,4157
1.01,SI1,H,Very Good,4468
0.5,VS1,H,Good,1017
0.5,VS1,G,Very Good,1081
0.31,SI2,I,Very Good,404
0.25,VVS2,E,Ideal,560
1,SI1,H,Ideal,5381
0.3,VVS2,F,Ideal,530
1.01,SI2,D,Good,3102
1,SI2,I,Very Good,3392
0.3,SI1,G,Very Good,505
1,SI2,F,Very Good,3079
0.31,VVS1,I,Ideal,509
0.35,VS2,F,Ideal,648
1.15,VS1,H,Ideal,6788
0.34,VS1,F,Ideal,654
0.3,SI1,F,Ideal,563
0.31,VVS1,D,Very Good,670
0.3,VS1,D,Ideal,617
0.35,VS2,E,Ideal,661
2.01,SI1,E,Ideal,18772
0.8,VS1,G,Ideal,3853
0.5,VS1,G,Very Good,1254
0.35,SI1,D,Ideal,612
0.5,VS1,F,Ideal,1627
0.58,SI1,D,Ideal,1471
0.44,VS1,E,Ideal,1037
0.64,VVS2,G,Ideal,2198
1,VS2,E,Very Good,6073
0.4,SI1,G,Ideal,671
0.4,VS2,I,Very Good,411
0.97,VS2,F,Very Good,4682
0.3,VVS2,G,Ideal,555
0.33,VVS1,D,Ideal,829
0.63,SI1,E,Very Good,1397
4.23,VVS2,I,Very Good,71628
0.4,SI2,E,Ideal,618
1.01,SI2,E,Very Good,2681
0.27,VVS2,E,Ideal,670
0.41,VVS1,G,Very Good,821
4.06,VS2,J,Ideal,40184
0.3,VVS2,G,Very Good,506
0.57,VS1,H,Ideal,1695
0.24,IF,D,Ideal,716
0.25,IF,E,Ideal,661
1.43,VS1,G,Ideal,12246
0.5,SI1,D,Ideal,1423
0.3,VS1,I,Very Good,465
0.4,VVS2,G,Ideal,866
0.3,SI2,H,Very Good,435
0.3,SI2,I,Very Good,387
1,VVS2,D,Good,6673
0.3,SI2,G,Ideal,442
1,SI1,H,Good,3883
0.7,VS1,F,Good,2484
0.35,VS1,G,Ideal,631
0.45,VVS1,D,Ideal,1169
0.57,VVS2,E,Ideal,1884
0.35,SI1,F,Astor Ideal,595
0.41,SI1,I,Ideal,700
0.62,VS1,D,Ideal,1951
0.6,VVS2,E,Very Good,1932
0.38,VS2,G,Ideal,770
0.36,VS1,I,Ideal,562
0.4,VS1,G,Very Good,788
0.71,SI1,E,Ideal,2460
0.51,VVS2,J,Ideal,1247
0.28,SI2,F,Very Good,368
0.3,VVS2,I,Ideal,528
1,VS2,I,Ideal,5465
0.36,IF,F,Ideal,950
0.7,SI1,F,Ideal,2591
0.51,SI1,F,Very Good,1013
0.3,IF,D,Ideal,872
0.8,VVS1,J,Ideal,2365
0.41,VS1,G,Ideal,900
0.5,SI2,D,Very Good,1131
2.5,VS1,F,Very Good,27944
0.4,SI1,J,Very Good,591
1.01,SI2,H,Very Good,3707
1.01,VS2,E,Ideal,7105
0.56,VS1,F,Ideal,1631
0.33,SI1,F,Ideal,507
6,VVS1,G,Good,165766
0.43,VS1,E,Very Good,991
0.45,SI2,G,Ideal,734
0.61,SI1,I,Astor Ideal,1901
0.59,IF,I,Ideal,1550
0.5,SI2,E,Good,832
0.5,VS2,I,Very Good,725
0.62,VS2,F,Ideal,2056
0.31,SI1,I,Ideal,424
0.38,VVS2,H,Ideal,728
2.26,IF,D,Ideal,68173
0.3,VS2,D,Ideal,531
0.5,VS1,I,Ideal,1293
1.06,VVS1,F,Ideal,9616
0.72,VS2,G,Ideal,2691
0.5,VS1,F,Ideal,1360
2.18,VS2,J,Ideal,14868
0.3,SI1,G,Ideal,547
1.6,VVS1,J,Ideal,9420
0.46,SI2,D,Good,878
1.06,IF,F,Ideal,8867
0.41,VS1,G,Ideal,1087
1.2,SI2,E,Very Good,5643
0.5,SI1,F,Ideal,1374
0.5,VVS1,I,Ideal,1449
0.3,SI1,I,Very Good,450
0.33,IF,E,Ideal,846
0.51,VVS1,G,Ideal,1599
1.01,VS2,I,Ideal,5773
0.3,VS1,I,Ideal,493
0.3,SI1,E,Ideal,525
0.7,VS2,D,Good,2235
1.01,SI2,G,Good,3986
0.42,SI2,H,Ideal,612
1,VVS2,F,Ideal,7475
0.53,VVS2,G,Ideal,1587
0.7,SI2,G,Very Good,1550
0.35,VVS2,D,Ideal,838
1.04,SI1,D,Good,4167
0.3,SI1,E,Very Good,477
0.3,VVS2,H,Good,529
2.01,VS2,G,Very Good,18044
0.3,SI2,H,Very Good,326
0.6,SI1,I,Ideal,1721
0.32,VS1,E,Ideal,612
0.39,VS2,D,Good,808
0.3,SI2,F,Ideal,427
2.22,VVS2,F,Ideal,37216
2.02,VS1,D,Astor Ideal,46893
0.71,VVS1,F,Ideal,3005
0.53,VS2,E,Ideal,1621
1.6,SI1,G,Ideal,13811
1.25,SI1,F,Ideal,7066
0.35,VS2,E,Ideal,589
1.2,VVS2,G,Ideal,9341
0.53,VS1,D,Ideal,1669
0.5,SI1,I,Ideal,1089
0.69,VS2,D,Good,2544
0.4,VVS2,E,Ideal,950
0.3,VS2,D,Ideal,560
1.2,VVS1,F,Ideal,10368
1.2,VS2,J,Ideal,5514
0.5,VS1,E,Ideal,1648
1.05,VVS1,J,Ideal,5069
0.5,VS1,I,Ideal,1265
0.24,IF,F,Ideal,538
0.82,VS1,D,Very Good,4910
0.24,VVS1,F,Ideal,603
0.5,VVS2,I,Very Good,1284
3.03,VVS2,D,Ideal,108560
0.55,VS1,D,Ideal,2026
0.5,SI1,D,Ideal,1283
0.23,VVS2,I,Ideal,354
1.01,SI1,D,Very Good,5477
0.56,SI1,I,Ideal,1378
0.38,VVS1,F,Ideal,1045
0.3,VS1,F,Ideal,577
0.35,VVS2,E,Ideal,800
2.52,VS2,D,Ideal,32095
5.22,VS2,H,Ideal,118725
1,VS2,H,Ideal,6098
2.01,VS2,H,Very Good,18373
3.01,VVS1,H,Ideal,54674
2.17,VS2,F,Very Good,22728
2.04,VS1,F,Very Good,21395
0.33,VVS1,G,Ideal,616
0.3,SI1,F,Ideal,472
0.31,VVS1,G,Ideal,562
0.3,VVS2,H,Ideal,652
1.7,VS1,F,Ideal,14391
0.7,VS1,J,Very Good,1891
0.4,VS1,H,Ideal,935
0.33,VVS1,G,Ideal,613
0.5,VVS2,H,Ideal,1590
0.63,SI1,D,Ideal,1655
0.7,VS1,D,Very Good,2339
0.5,SI2,F,Very Good,1035
1.54,SI1,H,Ideal,12492
0.6,VS1,E,Very Good,1765
0.43,SI2,I,Ideal,642
1.33,VS1,E,Ideal,12074
0.4,VS1,F,Very Good,814
0.54,SI1,E,Very Good,1541
0.52,VVS1,G,Ideal,1563
0.42,IF,H,Ideal,949
0.5,VVS2,D,Very Good,1337
1.12,SI1,J,Ideal,4474
0.34,SI2,F,Ideal,468
0.5,VVS1,F,Ideal,1742
0.4,VVS1,E,Very Good,889
0.3,VS2,E,Ideal,501
0.7,VS1,G,Ideal,2956
0.96,VVS1,D,Ideal,8412
0.5,VS1,D,Very Good,1454
1.21,SI1,F,Ideal,7865
0.6,SI1,E,Ideal,1746
0.5,SI1,E,Ideal,1397
0.31,SI2,E,Ideal,448
0.36,VVS1,J,Ideal,629
1.07,VS1,H,Astor Ideal,8511
0.32,VS2,D,Ideal,641
0.7,VS1,D,Ideal,2928
0.5,VS2,F,Very Good,932
0.58,VVS1,H,Ideal,2080
0.56,VS1,F,Ideal,1727
0.3,VVS2,D,Ideal,643
0.56,VVS2,E,Ideal,1987
0.31,VVS2,F,Very Good,508
1.02,SI1,G,Ideal,5791
0.5,VVS2,F,Very Good,1065
0.5,SI1,F,Ideal,1444
0.57,VVS1,G,Ideal,1745
0.9,VS1,I,Very Good,3226
0.9,VVS1,E,Very Good,5579
0.7,VS1,D,Ideal,2755
1.8,VVS1,I,Ideal,14185
0.5,SI2,F,Very Good,854
0.3,SI2,G,Very Good,332
0.52,VS2,D,Very Good,994
0.4,SI2,G,Very Good,697
0.5,SI2,D,Ideal,1014
1.71,VS1,E,Ideal,20009
0.51,VVS2,F,Very Good,1202
1.01,VVS2,H,Very Good,4646
0.91,VVS1,D,Very Good,5380
0.91,SI1,J,Very Good,2256
1,SI2,E,Ideal,4491
0.24,VVS2,F,Ideal,567
5.77,VVS1,F,Very Good,227960
1.3,VVS2,F,Ideal,11693
0.36,SI1,F,Ideal,648
1,SI1,I,Very Good,3259
1.22,VVS2,G,Ideal,9233
0.93,VVS1,E,Very Good,5138
1.5,SI2,H,Ideal,8563
1.02,SI1,J,Very Good,3958
0.31,VVS1,I,Ideal,611
0.3,SI2,H,Very Good,502
0.7,VVS2,E,Very Good,2545
0.35,VVS2,F,Ideal,713
0.37,VVS2,E,Very Good,513
0.51,VS1,G,Very Good,856
2,SI2,D,Very Good,19204
4.26,VS1,E,Ideal,139727
0.7,SI1,H,Very Good,1844
0.3,VVS2,D,Ideal,589
0.79,IF,H,Very Good,3262
0.9,VVS2,J,Very Good,2978
0.24,VS1,E,Ideal,395
0.5,VS2,D,Very Good,1329
5,VVS2,D,Good,152210
0.3,VVS2,I,Ideal,514
0.46,SI2,H,Ideal,759
0.3,SI1,H,Ideal,496
0.9,SI1,E,Very Good,3254
6.01,SI1,H,Very Good,134856
0.5,VVS1,I,Ideal,1141
1.04,VS2,D,Very Good,6768
0.51,VS2,E,Ideal,1470
0.4,VVS2,F,Ideal,859
0.3,VS2,E,Ideal,575
0.5,SI1,E,Ideal,1397
2.01,VVS1,F,Very Good,28117
3.01,VVS1,H,Very Good,35911
1.4,SI1,E,Ideal,10903
0.93,VVS1,H,Very Good,4231
0.5,VS2,D,Ideal,1594
0.55,VS2,F,Ideal,1583
0.57,VVS2,I,Ideal,1385
1,IF,D,Ideal,11532
0.4,VS2,D,Ideal,886
1,SI1,H,Very Good,5344
0.51,SI1,F,Ideal,1168
0.51,SI1,G,Good,889
0.4,VS1,G,Very Good,827
0.5,VS2,F,Ideal,1439
1.04,SI2,H,Ideal,5413
0.55,SI2,H,Ideal,1129
0.45,VS1,G,Ideal,1114
